Row ID,Order ID,Order Date,Year ,Month,Day,Day of the Week,Quarter,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Order processing time,,,,
26,CA-2017-121755,09/05/17,2017,September,5,Tuesday,3,12/06/17,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,92,,,,
27,CA-2017-121755,09/06/17,2017,September,6,Wednesday,3,12/07/17,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,92,,,,
28,US-2016-150630,09/07/17,2017,September,7,Thursday,3,12/08/17,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,92,,,,
29,US-2016-150630,09/08/17,2017,September,8,Friday,3,12/09/17,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,92,,,,
30,US-2016-150630,09/09/17,2017,September,9,Saturday,3,12/10/17,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,92,,,,
31,US-2016-150630,09/10/17,2017,September,10,Sunday,3,12/11/17,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,92,,,,
32,US-2016-150630,09/11/17,2017,September,11,Monday,3,12/12/17,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,92,,,,
33,US-2016-150630,09/12/17,2017,September,12,Tuesday,3,12/13/17,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,92,,,,
34,US-2016-150630,09/13/17,2017,September,13,Wednesday,3,12/14/17,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,92,,,,
35,CA-2018-107727,09/14/17,2017,September,14,Thursday,3,12/15/17,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,92,,,,
36,CA-2017-117590,09/15/17,2017,September,15,Friday,3,12/16/17,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,92,,,,
37,CA-2017-117590,09/16/17,2017,September,16,Saturday,3,12/17/17,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,92,,,,
38,CA-2016-117415,09/17/17,2017,September,17,Sunday,3,12/18/17,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,92,,,,
39,CA-2016-117415,09/18/17,2017,September,18,Monday,3,12/19/17,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,92,,,,
40,CA-2016-117415,09/19/17,2017,September,19,Tuesday,3,12/20/17,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,92,,,,
41,CA-2016-117415,09/20/17,2017,September,20,Wednesday,3,12/21/17,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,92,,,,
42,CA-2018-120999,09/21/17,2017,September,21,Thursday,3,12/22/17,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,92,,,,
43,CA-2017-101343,09/22/17,2017,September,22,Friday,3,12/23/17,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,92,,,,
44,CA-2018-139619,09/23/17,2017,September,23,Saturday,3,12/24/17,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,92,,,,
45,CA-2017-118255,09/24/17,2017,September,24,Sunday,3,12/25/17,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,92,,,,
46,CA-2017-118255,09/25/17,2017,September,25,Monday,3,12/26/17,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,92,,,,
47,CA-2015-146703,09/26/17,2017,September,26,Tuesday,3,12/27/17,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,92,,,,
48,CA-2017-169194,09/27/17,2017,September,27,Wednesday,3,12/28/17,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,92,,,,
49,CA-2017-169194,09/28/17,2017,September,28,Thursday,3,12/29/17,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,92,,,,
50,CA-2016-115742,09/29/17,2017,September,29,Friday,3,12/30/17,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,92,,,,
51,CA-2016-115742,09/30/17,2017,September,30,Saturday,3,12/31/17,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,92,,,,
52,CA-2016-115742,10/01/17,2017,October,1,Sunday,4,01/01/18,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,92,,,,
53,CA-2016-115742,10/02/17,2017,October,2,Monday,4,01/02/18,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,92,,,,
54,CA-2017-105816,10/03/17,2017,October,3,Tuesday,4,01/03/18,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,92,,,,
55,CA-2017-105816,10/04/17,2017,October,4,Wednesday,4,01/04/18,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,92,,,,
56,CA-2017-111682,10/05/17,2017,October,5,Thursday,4,01/05/18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,92,,,,
57,CA-2017-111682,10/06/17,2017,October,6,Friday,4,01/06/18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40,92,,,,
58,CA-2017-111682,10/07/17,2017,October,7,Saturday,4,01/07/18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,92,,,,
59,CA-2017-111682,10/08/17,2017,October,8,Sunday,4,01/08/18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,92,,,,
60,CA-2017-111682,10/09/17,2017,October,9,Monday,4,01/09/18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,92,,,,
61,CA-2017-111682,10/10/17,2017,October,10,Tuesday,4,01/10/18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,92,,,,
62,CA-2017-111682,10/11/17,2017,October,11,Wednesday,4,01/11/18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,92,,,,
63,CA-2016-135545,10/12/17,2017,October,12,Thursday,4,01/12/18,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,92,,,,
64,CA-2016-135545,10/13/17,2017,October,13,Friday,4,01/13/18,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,92,,,,
65,CA-2016-135545,10/14/17,2017,October,14,Saturday,4,01/14/18,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,92,,,,
66,CA-2016-135545,10/15/17,2017,October,15,Sunday,4,01/15/18,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,92,,,,
67,US-2016-164175,10/16/17,2017,October,16,Monday,4,01/16/18,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,92,,,,
68,CA-2015-106376,10/17/17,2017,October,17,Tuesday,4,01/17/18,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,92,,,,
69,CA-2015-106376,10/18/17,2017,October,18,Wednesday,4,01/18/18,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,92,,,,
70,CA-2017-119823,10/19/17,2017,October,19,Thursday,4,01/19/18,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,92,,,,
71,CA-2017-106075,10/20/17,2017,October,20,Friday,4,01/20/18,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,92,,,,
72,CA-2018-114440,10/21/17,2017,October,21,Saturday,4,01/21/18,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,92,,,,
73,US-2016-134026,10/22/17,2017,October,22,Sunday,4,01/22/18,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,92,,,,
74,US-2016-134026,10/23/17,2017,October,23,Monday,4,01/23/18,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,92,,,,
75,US-2016-134026,10/24/17,2017,October,24,Tuesday,4,01/24/18,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,92,,,,
76,US-2018-118038,10/25/17,2017,October,25,Wednesday,4,01/25/18,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,92,,,,
77,US-2018-118038,10/26/17,2017,October,26,Thursday,4,01/26/18,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,92,,,,
78,US-2018-118038,10/27/17,2017,October,27,Friday,4,01/27/18,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,92,,,,
79,US-2015-147606,10/28/17,2017,October,28,Saturday,4,01/28/18,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,92,,,,
80,CA-2017-127208,10/29/17,2017,October,29,Sunday,4,01/29/18,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,92,,,,
81,CA-2017-127208,10/30/17,2017,October,30,Monday,4,01/30/18,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,92,,,,
82,CA-2015-139451,10/31/17,2017,October,31,Tuesday,4,01/31/18,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,92,,,,
83,CA-2015-139451,11/01/17,2017,November,1,Wednesday,4,02/01/18,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,92,,,,
84,CA-2016-149734,11/02/17,2017,November,2,Thursday,4,02/02/18,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,92,,,,
85,US-2018-119662,11/03/17,2017,November,3,Friday,4,02/03/18,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,92,,,,
86,CA-2018-140088,11/04/17,2017,November,4,Saturday,4,02/04/18,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,92,,,,
87,CA-2018-155558,11/05/17,2017,November,5,Sunday,4,02/05/18,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,92,,,,
88,CA-2018-155558,11/06/17,2017,November,6,Monday,4,02/06/18,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,92,,,,
89,CA-2017-159695,11/07/17,2017,November,7,Tuesday,4,02/07/18,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,92,,,,
90,CA-2017-109806,11/08/17,2017,November,8,Wednesday,4,02/08/18,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,92,,,,
91,CA-2017-109806,11/09/17,2017,November,9,Thursday,4,02/09/18,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,92,,,,
92,CA-2017-109806,11/10/17,2017,November,10,Friday,4,02/10/18,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,92,,,,
93,CA-2016-149587,11/11/17,2017,November,11,Saturday,4,02/11/18,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,92,,,,
94,CA-2016-149587,11/12/17,2017,November,12,Sunday,4,02/12/18,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,92,,,,
95,CA-2016-149587,11/13/17,2017,November,13,Monday,4,02/13/18,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,92,,,,
96,US-2018-109484,11/14/17,2017,November,14,Tuesday,4,02/14/18,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,92,,,,
97,CA-2018-161018,11/15/17,2017,November,15,Wednesday,4,02/15/18,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,92,,,,
98,CA-2018-157833,11/16/17,2017,November,16,Thursday,4,02/16/18,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,92,,,,
99,CA-2017-149223,11/17/17,2017,November,17,Friday,4,02/17/18,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,92,,,,
100,CA-2017-158568,11/18/17,2017,November,18,Saturday,4,02/18/18,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,92,,,,
101,CA-2017-158568,11/19/17,2017,November,19,Sunday,4,02/19/18,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,92,,,,
102,CA-2017-158568,11/20/17,2017,November,20,Monday,4,02/20/18,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,92,,,,
